id,order_no,ordering_org_id,vendor_org_id,status,currency_code,requested_delivery_date,submitted_at,confirmed_at,packing_no_legacy
3a50ecf2-b320-b0c7-365c-6c9102b6ea84,HX-20200102-5,48c130cd-8e5a-515c-9d94-ad1b0ba55d7f,,completed,KRW,2020-01-02,2020-01-02T00:00:00+09:00,2020-01-02T00:00:00+09:00,5
3b2b9426-98eb-b07a-5cb8-c51f49e287d0,HX-20200102-6,48c130cd-8e5a-515c-9d94-ad1b0ba55d7f,,completed,KRW,2020-01-02,2020-01-02T00:00:00+09:00,2020-01-02T00:00:00+09:00,6
d63facdd-7455-9075-dc1b-9cc004edcc43,HX-20200106-1,375c693f-7e15-be9b-727b-ca833a9d848d,,completed,USD,2020-01-06,2020-01-06T00:00:00+09:00,2020-01-06T00:00:00+09:00,1
cd250976-1524-d30b-5d32-47cb32f2d728,HX-20200107-66,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-07,2020-01-07T00:00:00+09:00,2020-01-07T00:00:00+09:00,66
73c9d152-6a7a-0722-a105-57271d830220,HX-20200107-67,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-07,2020-01-07T00:00:00+09:00,2020-01-07T00:00:00+09:00,67
4aaba3b7-6830-d750-ec93-5c93850271f0,HX-20200107-68,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-07,2020-01-07T00:00:00+09:00,2020-01-07T00:00:00+09:00,68
e8a6996f-c556-51a6-088a-b12d6a071bab,HX-20200107-69,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-07,2020-01-07T00:00:00+09:00,2020-01-07T00:00:00+09:00,69
e2571a35-d925-4b83-803c-01f8e9991415,HX-20200114-41,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-14,2020-01-14T00:00:00+09:00,2020-01-14T00:00:00+09:00,41
16f999bd-17a8-98f5-80e9-bc977277fd06,HX-20200114-42,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-14,2020-01-14T00:00:00+09:00,2020-01-14T00:00:00+09:00,42
28902e13-aa89-0535-edaa-4dbcd182f245,HX-20200114-43,b46f6900-e3eb-8fed-9529-92f06466f455,02394d8d-2084-0464-d6d1-2ef40243a829,completed,USD,2020-01-14,2020-01-14T00:00:00+09:00,2020-01-14T00:00:00+09:00,43
